Year	Period	Period code	Zero	Belgium	Denmark	France	Germany	Greece	Italy	Netherland	Spain	Switzerland	UK
2008	GFC and sovereign debt crises	A	no zero	53,678	22,946	349,523	181,66	6,893	60,526	79,341	22,796	92,351	206,421
2009	GFC and sovereign debt crises	A	no zero	45,904	16,096	270,237	144,091	7,198	47,401	66,369	4,82	51,128	153,231
2010	GFC and sovereign debt crises	A	no zero	45,804	14,671	334,721	153,605	16,827	81,379	68,323	46,888	59,18	159,043
2011	GFC and sovereign debt crises	A	no zero	46,752	19,125	432,242	190,417	24,171	110,813	78,074	62,927	86,427	222,286
2012	GFC and sovereign debt crises	A	no zero	36,04	18,221	393,951	161,197	24,671	102,065	69,031	66,405	72,196	179,862
2013	New EU regulation for G-SIFIs	B	no zero	26,181	11,168	257,835	111,808	11,856	73,863	51,281	25,557	35,146	111,916
2014	New EU regulation for G-SIFIs	B	no zero	16,977	9,933	230,719	106,261	10,975	66,14	46,602	24,708	37,255	128,414
2015	New EU regulation for G-SIFIs	B	no zero	12,998	7,634	211,776	101,098	6,706	53,031	37,699	59,11	27,119	151,648
2016	New EU regulation for G-SIFIs	B	no zero	13,983	7,898	215,77	104,516	5,496	91,192	36,265	60,583	41,519	151,102
2017	New EU regulation for G-SIFIs	B	no zero	10,691	5,723	192,422	77,514	4,103	71,958	26,048	33,463	19,753	107,11
2018	New EU regulation for G-SIFIs	B	no zero	17,71	17,243	246,025	91,093	15,461	93,327	41,362	63,75	39,17	151,783
2019	New EU regulation for G-SIFIs	B	no zero	16,035	20,9	198,402	97,097	9,589	71,893	46,364	65,75	36,401	153,707
2020	New EU regulation for G-SIFIs	B	no zero	16,532	22,762	293,358	91,556	14,971	110,85	73,012	107,012	48,695	250,238
2021	New EU regulation for G-SIFIs	B	no zero	20,677	21,443	267,307	84,784	16,763	97,099	49,555	81,71	44,29	236,94
